id,name,moneycontrol_link,Score,Sr.no
540133,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-general/iciciprudentiallifeinsurancecompany/IPL01,0.7619,47
517334,MOTHERSON SUMI SYSTEMS LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mothersonsumisystems/MSS01,0.6233,48
500096,DABUR INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,0.8271,49
505537,ZEE ENTERTAINMENT ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/zeeentertainmententerprises/ZEE,0.893,50
500124,DR.REDDY'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,,51
500087,CIPLA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,,52
532755,TECH MAHINDRA LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4,,53
500470,TATA STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS,,54
500300,GRASIM INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,,55
500425,AMBUJA CEMENTS LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18,,56
500228,JSW STEEL LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,,57
526371,NMDC LTD.,http://www.moneycontrol.com/india/stockpricequote/mining-minerals/nmdc/NMD02,,58
500550,SIEMENS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,,59
532321,CADILA HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,,60
524804,AUROBINDO PHARMA LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,,61
540376,AVENUE SUPERMARTS LTD.,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,,62
500440,HINDALCO INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,,63
532134,BANK OF BARODA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,,64
500825,BRITANNIA INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,,65
533098,NHPC LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/nhpc/N07,,66
500114,TITAN COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,,67
500103,BHARAT HEAVY ELECTRICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,,68
512070,UPL LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,,69
532810,POWER FINANCE CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,,70
531642,MARICO LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,,71
535789,INDIABULLS HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01,,72
500331,PIDILITE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,,73
532822,IDEA CELLULAR LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/ideacellular/IC8,,74
500049,BHARAT ELECTRONICS LTD.,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,,75
539448,INTERGLOBE AVIATION LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/interglobeaviation/IA04,,76
532432,UNITED SPIRITS LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedspirits/US,,77
500302,PIRAMAL ENTERPRISES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,,78
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01,,79
532955,RURAL ELECTRIFICATION CORPORATION LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/ruralelectrificationcorporation/REC02,,80
532461,PUNJAB NATIONAL BANK,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,,81
532522,PETRONET LNG LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/petronetlng/PLN,,82
500253,LIC HOUSING FINANCE LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,,83
533106,OIL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilindia/OI13,,84
500410,ACC LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,,85
532733,SUN TV NETWORK LTD.,http://www.moneycontrol.com/india/stockpricequote/media-entertainment/suntvnetwork/STN01,,86
517354,HAVELLS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01,,87
532296,GLENMARK PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,,88
500477,ASHOK LEYLAND LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,,89
532868,DLF LTD.,http://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04,,90
500830,COLGATE-PALMOLIVE (INDIA) LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI,,91
500113,STEEL AUTHORITY OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI,,92
500002,ABB INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB,,93
500480,CUMMINS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,,94
531162,EMAMI LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/emami/E06,,95
531344,CONTAINER CORPORATION OF INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI,,96
500493,BHARAT FORGE LTD.,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,,97
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,,98
500420,TORRENT PHARMACEUTICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06,,99
539523,ALKEM LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,,100
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,http://www.moneycontrol.com/india/stockpricequote/personal-care/proctergamblehygienehealthcare/PGH,,101
500290,MRF LTD.,http://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,,102
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI,,103
500400,TATA POWER CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/tatapowercompany/TPC,,104
511218,SHRIRAM TRANSPORT FINANCE CO.LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramtransportfinancecorporation/STF,,105
500676,GLAXOSMITHKLINE CONSUMER HEALTHCARE LTD.,http://www.moneycontrol.com/india/stockpricequote/food-processing/glaxosmithklineconsumerhealthcare/GSC04,,106
509480,BERGER PAINTS INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/bergerpaintsindia/BPI02,,107
532523,BIOCON LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,,108
539437,IDFC BANK LTD.,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcbank/IDF01,,109
532478,UNITED BREWERIES LTD.,http://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedbreweries/UB02,,110
500483,TATA COMMUNICATIONS LTD.,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17,,111
500870,CASTROL INDIA LTD.,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,,112
532343,TVS MOTOR COMPANY LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/tvsmotorcompany/TVS,,113
532488,DIVI'S LABORATORIES LTD.,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,,114
533519,L&T FINANCE HOLDINGS LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-investments/ltfinanceholdings/LFH,,115
500165,KANSAI NEROLAC PAINTS LTD.,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/kansainerolacpaints/KNP,,116
500303,ADITYA BIRLA NUVO LTD.,http://www.moneycontrol.com/india/stockpricequote/diversified/adityabirlanuvo/ABN01,,117
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,http://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP,,118
500086,EXIDE INDUSTRIES LTD.,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI,,119
532885,CENTRAL BANK OF INDIA,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/centralbankindia/CBO01,,120
508869,APOLLO HOSPITALS ENTERPRISE LTD.,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE,,121
532720,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/mahindramahindrafinancialservices/MMF04,,122
533309,DALMIA BHARAT LTD.,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE,,123
540173,PNB Housing Finance Ltd,http://www.moneycontrol.com/india/stockpricequote/finance-housing/pnbhousingfinance/PHF,,124
511431,VAKRANGEE LTD.,http://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/vakrangee/VS,,125
